City,Population,Violent_Crime,Murder,Rape (Rev),Rape(Legal),Robbery,Agg Assault,Property_Crime,Burglary,Larceny,Vehicle Theft,Arson
Rosendale Town,5985,2,0,0,,0,2,41,7,33,1,0
Rotterdam Town,29340,13,1,,0,4,8,901,110,769,22,4
Rouses Point Village,2186,0,0,,0,0,0,21,9,12,0,0
Rye,16016,4,0,0,,3,1,54,4,49,1,0
Rye Brook Village,9544,2,0,,0,2,0,92,12,78,2,0
Sackets Harbor Village,1510,0,0,0,,0,0,1,1,0,0,0
Sag Harbor Village,2275,0,0,,0,0,0,57,5,51,1,0
Salamanca,5653,23,0,2,,1,20,106,35,62,9,2
Sands Point Village,2727,0,0,,0,0,0,9,0,6,3,0
Saranac Lake Village,5333,8,0,0,,0,8,117,27,88,2,0
Saratoga Springs,27496,64,0,8,,16,40,590,97,482,11,1
Saugerties Town,19227,11,0,,0,3,8,217,43,168,6,3
Scarsdale Village,17710,1,0,,0,1,0,129,24,102,3,0
Schenectady,65834,575,5,57,,158,355,2518,642,1752,124,19
Schodack Town,11667,7,0,1,,0,6,70,19,48,3,0
Schoharie Village,857,0,0,,0,0,0,0,0,0,0,0
Scotia Village,7808,13,0,0,,3,10,150,22,118,10,0
Seneca Falls Town,9135,17,0,4,,1,12,314,39,270,5,0
Shandaken Town,3018,2,0,0,,0,2,67,24,42,1,0
Shawangunk Town,14156,6,0,1,,3,2,67,20,47,0,0
Shelter Island Town,2416,1,0,1,,0,0,36,9,26,1,0
Sherrill,3083,0,0,0,,0,0,21,6,15,0,0
Shortsville Village,1429,0,0,,0,0,0,0,0,0,0,0
Sidney Village,3763,13,0,3,,0,10,132,14,114,4,0
Skaneateles Village,2453,1,0,,0,0,1,6,0,6,0,0
Sleepy Hollow Village,10051,8,0,,0,4,4,53,10,41,2,0
Sodus Point Village,879,0,0,0,,0,0,8,1,7,0,0
Sodus Village,1792,1,0,0,,0,1,24,4,20,0,0
Solvay Village,6467,19,0,,0,6,13,143,26,109,8,0
Southampton Town,50819,47,0,3,,18,26,778,132,585,61,3
Southampton Village,3158,2,0,,0,0,2,84,6,77,1,0
South Glens Falls Village,3621,1,0,0,,1,0,97,9,86,2,0
South Nyack Village,3602,2,0,1,,0,1,11,2,9,0,0
Southold Town,19991,8,0,0,,2,6,308,61,242,5,0
Spring Valley Village,32586,131,0,8,,38,85,391,77,303,11,4
Stillwater Town,6604,0,0,,0,0,0,29,5,23,1,0
St. Johnsville Village,1687,0,0,0,,0,0,54,7,47,0,0
Stockport Town,2744,0,0,,0,0,0,1,1,0,0,0
Stony Point Town,15408,11,0,2,,1,8,103,17,81,5,0
Suffern Village,10975,5,1,,0,0,4,61,10,50,1,0
Syracuse,144534,1164,20,70,,406,668,5755,1404,3986,365,57
Tarrytown Village,11531,6,0,,0,3,3,86,20,63,3,1
Ticonderoga Town,4979,13,0,5,,0,8,56,13,40,3,2
Tonawanda,14958,21,0,4,,3,14,351,40,298,13,3
Tonawanda Town,58077,95,1,13,,34,47,1015,148,827,40,0
Troy,49950,350,7,,0,110,233,2182,540,1512,130,13
Trumansburg Village,1840,0,0,0,,0,0,55,6,46,3,0
Tuckahoe Village,6620,2,0,,0,0,2,45,3,38,4,0
Tupper Lake Village,3630,13,0,4,,3,6,114,25,85,4,0
Tuxedo Park Village,612,0,0,,0,0,0,0,0,0,0,0
Tuxedo Town,2987,2,0,0,,1,1,2,0,2,0,0
Ulster Town,12112,15,0,1,,4,10,390,22,362,6,1
Utica,61702,402,6,35,,124,237,2366,432,1826,108,6
Vernon Village,1166,1,0,,0,0,1,15,2,13,0,0
Vestal Town,28019,11,0,4,,1,6,580,38,524,18,0
Walden Village,6847,9,0,0,,0,9,89,10,75,4,2
Wallkill Town,28211,43,0,2,,19,22,506,59,430,17,2
Walton Village,2980,10,0,1,,1,8,75,15,59,1,2
Warsaw Village,3397,5,0,1,,0,4,75,6,69,0,1
Washingtonville Village,5788,2,0,,0,0,2,59,5,53,1,0
Waterford Town and Village,8398,1,0,,0,1,0,58,14,44,0,0
Waterloo Village,5185,13,0,2,,1,10,154,22,127,5,0
Watertown,28009,153,0,47,,17,89,1296,193,1097,6,3
Watervliet,10235,20,0,2,,10,8,199,32,152,15,0
Watkins Glen Village,1871,2,0,0,,0,2,103,10,93,0,0
Waverly Village,4344,4,0,2,,0,2,20,6,13,1,0
Webster Town and Village,44230,27,1,6,,7,13,496,67,418,11,1
Weedsport Village,1796,2,0,,0,0,2,21,7,14,0,0
Wellsville Village,4576,18,0,,0,0,18,156,40,114,2,1
Westfield Village,3147,1,0,0,,0,1,9,2,7,0,2
Westhampton Beach Village,1753,2,0,,0,0,2,33,8,23,2,0
West Seneca Town,44866,38,0,3,,17,18,764,111,631,22,1
Whitehall Village,2598,13,0,3,,0,10,44,6,37,1,0
White Plains,58103,105,1,5,,25,74,1046,55,968,23,0
Whitesboro Village,3727,5,0,,0,1,4,41,10,29,2,0
Whitestown Town,9307,0,0,,0,0,0,71,16,55,0,0
Windham Town,1682,1,0,0,,0,1,18,8,9,1,0
Wolcott Village,1646,0,0,,0,0,0,4,0,4,0,0
Woodbury Town ,10739,4,0,0,,1,3,,5,,0,0
Woodstock Town,5907,3,0,1,,2,0,43,14,29,0,0
Yonkers,200624,974,3,33,,358,580,2009,414,1395,200,15
Yorktown Town,36989,13,0,0,,0,13,209,24,182,3,0
Youngstown Village,1896,0,0,0,,0,0,1,0,1,0,0
